Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene
2,22,32.09799151,32.51312008,0.440541622,rt-pcas13d_rep3,rt-,5209/5210,znf_3prime,exp
3,18,34.62439549,34.62439549,NA,rt-uninjected_rep2,rt-,944/945,taf15,exp
3,17,32.73994791,32.65249153,0.083815336,rt-uninjected_rep1,rt-,944/945,taf15,exp
3,19,33.878299,33.56030569,0.275424562,rt-uninjected_rep3,rt-,944/945,taf15,exp
3,22,31.97211211,32.77401425,1.069538985,rt-pcas13d_rep3,rt-,944/945,taf15,exp
3,21,32.8122581,33.92621509,1.032250044,rt-pcas13d_rep2,rt-,944/945,taf15,exp
3,20,31.73306506,31.77664192,0.061626998,rt-pcas13d_rep1,rt-,944/945,taf15,exp
3,25,31.33921255,32.05458508,0.807450143,rt-znf_1_rep3,rt-,944/945,taf15,exp
3,26,36.48901097,33.95074599,2.507741467,rt-znf_2_rep1,rt-,944/945,taf15,exp
3,26,31.4746854,33.95074599,2.507741467,rt-znf_2_rep1,rt-,944/945,taf15,exp
3,23,32.48931119,34.82031809,2.034439752,rt-znf_1_rep1,rt-,944/945,taf15,exp
3,23,36.23830961,34.82031809,2.034439752,rt-znf_1_rep1,rt-,944/945,taf15,exp
3,27,35.34513936,35.29593791,3.62238219,rt-znf_2_rep2,rt-,944/945,taf15,exp
3,17,32.64465968,32.65249153,0.083815336,rt-uninjected_rep1,rt-,944/945,taf15,exp
3,27,38.89346875,35.29593791,3.62238219,rt-znf_2_rep2,rt-,944/945,taf15,exp
3,27,31.6492056,35.29593791,3.62238219,rt-znf_2_rep2,rt-,944/945,taf15,exp
3,26,33.8885416,33.95074599,2.507741467,rt-znf_2_rep1,rt-,944/945,taf15,exp
3,23,35.73333348,34.82031809,2.034439752,rt-znf_1_rep1,rt-,944/945,taf15,exp
3,24,34.56142363,34.66320625,0.308016335,rt-znf_1_rep2,rt-,944/945,taf15,exp
3,24,34.41896322,34.66320625,0.308016335,rt-znf_1_rep2,rt-,944/945,taf15,exp
3,28,31.3796219,32.7019122,1.200736056,rt-znf_2_rep3,rt-,944/945,taf15,exp
3,18,NA,NA,NA,rt-uninjected_rep2,rt-,944/945,taf15,exp
3,28,33.72420601,32.7019122,1.200736056,rt-znf_2_rep3,rt-,944/945,taf15,exp
3,28,33.00190868,32.7019122,1.200736056,rt-znf_2_rep3,rt-,944/945,taf15,exp
3,18,NA,NA,NA,rt-uninjected_rep2,rt-,944/945,taf15,exp
3,24,35.00923192,34.66320625,0.308016335,rt-znf_1_rep2,rt-,944/945,taf15,exp
3,25,31.89443224,32.05458508,0.807450143,rt-znf_1_rep3,rt-,944/945,taf15,exp
3,25,32.93011045,32.05458508,0.807450143,rt-znf_1_rep3,rt-,944/945,taf15,exp
3,29,35.77216478,33.03510275,2.38658549,rt-znf_3_rep1,rt-,944/945,taf15,exp
3,19,33.3969642,33.56030569,0.275424562,rt-uninjected_rep3,rt-,944/945,taf15,exp
3,29,31.94434662,33.03510275,2.38658549,rt-znf_3_rep1,rt-,944/945,taf15,exp
3,29,31.38879685,33.03510275,2.38658549,rt-znf_3_rep1,rt-,944/945,taf15,exp
3,19,33.40565385,33.56030569,0.275424562,rt-uninjected_rep3,rt-,944/945,taf15,exp
3,16,NA,NA,NA,water_rep1,water,944/945,taf15,exp
3,16,NA,NA,NA,water_rep1,water,944/945,taf15,exp
3,16,NA,NA,NA,water_rep1,water,944/945,taf15,exp
3,30,35.25523383,32.69584819,2.216942214,rt-znf_3_rep2,rt-,944/945,taf15,exp
3,20,31.82021879,31.77664192,0.061626998,rt-pcas13d_rep1,rt-,944/945,taf15,exp
3,30,31.37152768,32.69584819,2.216942214,rt-znf_3_rep2,rt-,944/945,taf15,exp
3,30,31.46078305,32.69584819,2.216942214,rt-znf_3_rep2,rt-,944/945,taf15,exp
3,20,NA,NA,NA,rt-pcas13d_rep1,rt-,944/945,taf15,exp
3,17,32.572867,32.65249153,0.083815336,rt-uninjected_rep1,rt-,944/945,taf15,exp
3,31,34.85747294,35.34806344,0.84233625,rt-znf_3_rep3,rt-,944/945,taf15,exp
3,21,34.85043332,33.92621509,1.032250044,rt-pcas13d_rep2,rt-,944/945,taf15,exp
3,31,34.86602034,35.34806344,0.84233625,rt-znf_3_rep3,rt-,944/945,taf15,exp
3,31,36.32069704,35.34806344,0.84233625,rt-znf_3_rep3,rt-,944/945,taf15,exp
3,21,34.11595385,33.92621509,1.032250044,rt-pcas13d_rep2,rt-,944/945,taf15,exp
3,32,NA,NA,NA,water_rep2,water,944/945,taf15,exp
3,22,32.36155992,32.77401425,1.069538985,rt-pcas13d_rep3,rt-,944/945,taf15,exp
3,32,NA,NA,NA,water_rep2,water,944/945,taf15,exp
3,32,NA,NA,NA,water_rep2,water,944/945,taf15,exp
3,22,33.98837073,32.77401425,1.069538985,rt-pcas13d_rep3,rt-,944/945,taf15,exp
4,23,27.41440007,27.4000229,0.045611933,rt-znf_1_rep1,rt-,4615/4616,znf_cds,exp
4,22,27.51101815,27.47745104,0.100142433,rt-pcas13d_rep3,rt-,4615/4616,znf_cds,exp
4,20,27.27196825,27.3670476,0.114207952,rt-pcas13d_rep1,rt-,4615/4616,znf_cds,exp
4,19,27.45224729,27.38228831,0.068099754,rt-uninjected_rep3,rt-,4615/4616,znf_cds,exp
4,17,27.91881712,27.89295164,0.08137696,rt-uninjected_rep1,rt-,4615/4616,znf_cds,exp
4,26,27.17026263,27.17193983,0.189329834,rt-znf_2_rep1,rt-,4615/4616,znf_cds,exp
4,24,27.61537693,27.47498024,0.249969498,rt-znf_1_rep2,rt-,4615/4616,znf_cds,exp
4,21,27.25260891,27.34946883,0.087428392,rt-pcas13d_rep2,rt-,4615/4616,znf_cds,exp
4,31,28.06041565,27.52166334,0.470548216,rt-znf_3_rep3,rt-,4615/4616,znf_cds,exp
4,21,27.42254306,27.34946883,0.087428392,rt-pcas13d_rep2,rt-,4615/4616,znf_cds,exp
4,18,27.26644487,27.68493824,0.5255609,rt-uninjected_rep2,rt-,4615/4616,znf_cds,exp
4,18,27.51357785,27.68493824,0.5255609,rt-uninjected_rep2,rt-,4615/4616,znf_cds,exp
4,25,26.78928055,26.96056147,0.200895569,rt-znf_1_rep3,rt-,4615/4616,znf_cds,exp
4,22,27.3648372,27.47745104,0.100142433,rt-pcas13d_rep3,rt-,4615/4616,znf_cds,exp
4,32,28.532094,28.10874333,0.598708255,water_rep2,water,4615/4616,znf_cds,exp
4,19,27.31621409,27.38228831,0.068099754,rt-uninjected_rep3,rt-,4615/4616,znf_cds,exp
4,29,27.25062151,27.23199046,0.05785686,rt-znf_3_rep1,rt-,4615/4616,znf_cds,exp
