Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene,dMean,MeanRank,Outlier
2,14,23.23949249,23.18168535,0.0817086,znf_3_rep2,znf_3,5209/5210,znf_3prime,exp,0.0033416654349797516,2,No
2,4,22.38320817,22.47556712,0.103798926,pcas13d_rep1,pcas13d,5209/5210,znf_3prime,exp,0.008530175645102734,2,No
2,3,22.64097304,22.60150779,0.090035332,uninjected_rep3,uninjected,5209/5210,znf_3prime,exp,0.0015575059575624393,1,No
2,3,22.66507122,22.60150779,0.090035332,uninjected_rep3,uninjected,5209/5210,znf_3prime,exp,0.004040309633365165,2,No
2,8,24.66510001,24.68290612,0.084620844,znf_1_rep2,znf_1,5209/5210,znf_3prime,exp,3.1705755333205204e-4,1,No
2,8,24.77501311,24.68290612,0.084620844,znf_1_rep2,znf_1,5209/5210,znf_3prime,exp,0.008483697606860345,3,No
2,15,23.69436338,23.60611835,0.100823167,znf_3_rep3,znf_3,5209/5210,znf_3prime,exp,0.007787185319700812,2,No
2,5,22.4457116,22.51446828,0.066050461,pcas13d_rep2,pcas13d,5209/5210,znf_3prime,exp,0.004727481044622387,3,No
2,5,22.57743074,22.51446828,0.066050461,pcas13d_rep2,pcas13d,5209/5210,znf_3prime,exp,0.003964271369251774,2,No
2,4,22.45559083,22.47556712,0.103798926,pcas13d_rep1,pcas13d,5209/5210,znf_3prime,exp,3.9905216216419787e-4,1,No
2,9,23.8757318,23.96438414,0.149445957,znf_1_rep3,znf_1,5209/5210,znf_3prime,exp,0.007859237387475501,2,No
2,9,23.88049303,23.96438414,0.149445957,znf_1_rep3,znf_1,5209/5210,znf_3prime,exp,0.007037718337032052,1,No
2,9,24.13692757,23.96438414,0.149445957,znf_1_rep3,znf_1,5209/5210,znf_3prime,exp,0.029771235236165264,3,No
2,6,22.68727502,22.7480969,0.128523931,pcas13d_rep3,pcas13d,5209/5210,znf_3prime,exp,0.003699301086734264,1,No
2,6,22.89574233,22.7480969,0.128523931,pcas13d_rep3,pcas13d,5209/5210,znf_3prime,exp,0.02179917299988512,3,No
2,10,23.0476551,23.19724514,0.177539577,znf_2_rep1,znf_2,5209/5210,znf_3prime,exp,0.022377180067201494,2,No
2,10,23.39343792,23.19724514,0.177539577,znf_2_rep1,znf_2,5209/5210,znf_3prime,exp,0.0384916069241286,3,No
2,7,24.05389147,24.09116799,0.034105186,znf_1_rep1,znf_1,5209/5210,znf_3prime,exp,0.0013895389433103199,3,No
2,7,24.12080669,24.09116799,0.034105186,znf_1_rep1,znf_1,5209/5210,znf_3prime,exp,8.784525376899747e-4,2,No
2,7,24.098805810000002,24.09116799,0.034105186,znf_1_rep1,znf_1,5209/5210,znf_3prime,exp,5.833629435244436e-5,1,No
2,11,23.23333329,23.2905843,0.074820423,znf_2_rep2,znf_2,5209/5210,znf_3prime,exp,0.003277678146019883,2,No
2,11,23.26317556,23.2905843,0.074820423,znf_2_rep2,znf_2,5209/5210,znf_3prime,exp,7.512390283875172e-4,1,No
2,8,24.60860524,24.68290612,0.084620844,znf_1_rep2,znf_1,5209/5210,znf_3prime,exp,0.00552062076877427,2,No
2,15,23.62775996,23.60611835,0.100823167,znf_3_rep3,znf_3,5209/5210,znf_3prime,exp,4.683592833920846e-4,1,No
2,12,23.23559742,23.29222041,0.058776428,znf_2_rep3,znf_2,5209/5210,znf_3prime,exp,0.0032061629965398153,2,No
2,12,23.35293632,23.29222041,0.058776428,znf_2_rep3,znf_2,5209/5210,znf_3prime,exp,0.0036864217271284083,3,No
2,13,23.5572853,23.46830186,0.106766394,znf_3_rep1,znf_3,5209/5210,znf_3prime,exp,0.007918052594233565,2,No
2,14,23.08820589,23.18168535,0.0817086,znf_3_rep2,znf_3,5209/5210,znf_3prime,exp,0.008738409441891136,3,No
3,3,20.27751164,20.28767535,0.107623938,uninjected_rep3,uninjected,944/945,taf15,exp,1.0330100096411e-4,1,No
3,4,20.10459744,20.17352938,0.177913913,pcas13d_rep1,pcas13d,944/945,taf15,exp,0.0047516123521639244,1,No
3,3,20.18549381,20.28767535,0.107623938,uninjected_rep3,uninjected,944/945,taf15,exp,0.010441067116771625,2,No
3,2,20.17539432,20.14554607,0.193117564,uninjected_rep2,uninjected,944/945,taf15,exp,8.909180280623223e-4,1,No
3,4,20.04039568,20.17352938,0.177913913,pcas13d_rep1,pcas13d,944/945,taf15,exp,0.01772458207569051,2,No
3,1,20.24103759,20.12984865,0.129572367,uninjected_rep1,uninjected,944/945,taf15,exp,0.012362980378323974,2,No
3,1,19.98755491,20.12984865,0.129572367,uninjected_rep1,uninjected,944/945,taf15,exp,0.02024750844318746,3,No
3,5,20.07358753,20.44600849,0.524222459,pcas13d_rep2,pcas13d,944/945,taf15,exp,0.1386973714473212,2,No
3,5,20.21895616,20.44600849,0.524222459,pcas13d_rep2,pcas13d,944/945,taf15,exp,0.05155276055842861,1,No
3,2,19.9392422,20.14554607,0.193117564,uninjected_rep2,uninjected,944/945,taf15,exp,0.04256128677697807,3,No
3,12,20.66155065,20.54542781,0.100735386,znf_2_rep3,znf_2,944/945,taf15,exp,0.013484513969665407,3,No
3,2,20.32200168,20.14554607,0.193117564,uninjected_rep2,uninjected,944/945,taf15,exp,0.03113658230047135,2,No
3,6,20.25919303,20.49589468,0.231321266,pcas13d_rep3,pcas13d,944/945,taf15,exp,0.056027671112722756,3,Yes
3,6,20.72143121,20.49589468,0.231321266,pcas13d_rep3,pcas13d,944/945,taf15,exp,0.05086672636444063,2,No
3,13,20.57027194,20.8270318,0.222468929,znf_3_rep1,znf_3,944/945,taf15,exp,0.06592562570721906,3,Yes
3,13,20.96235487,20.8270318,0.222468929,znf_3_rep1,znf_3,944/945,taf15,exp,0.018312333274224445,2,No
3,13,20.94846858,20.8270318,0.222468929,znf_3_rep1,znf_3,944/945,taf15,exp,0.014746891536768352,1,No
3,3,20.4000206,20.28767535,0.107623938,uninjected_rep3,uninjected,944/945,taf15,exp,0.012621455197562638,3,No
3,14,20.01417262,20.38441636,0.324122758,znf_3_rep2,znf_3,944/945,taf15,exp,0.13708042700918713,3,Yes
3,14,20.52215427,20.38441636,0.324122758,znf_3_rep2,znf_3,944/945,taf15,exp,0.018971731851168655,1,No
3,14,20.6169222,20.38441636,0.324122758,znf_3_rep2,znf_3,944/945,taf15,exp,0.05405896563410641,2,No
